iso3,year,health_gdp,beds,physicians,undernourishment,antiretroviral,hiv,malaria,tuberculosis
CHI,2016,..,..,..,..,..,..,..,..
CHI,2017,..,..,..,..,..,..,..,..
CHI,2018,..,..,..,..,..,..,..,..
CHI,2019,..,..,..,..,..,..,..,..
CHI,2020,..,..,..,..,..,..,..,..
CHI,2021,..,..,..,..,..,..,..,..
CHI,2022,..,..,..,..,..,..,..,..
CHL,1990,..,3.158600092,1.1,..,..,7.00E-02,..,..
CHL,1991,..,..,1.066,..,..,0.08,..,..
CHL,1992,..,..,0.9949,..,..,0.1,..,..
CHL,1993,..,3.099999905,..,..,..,0.12,..,..
CHL,1994,..,..,..,..,..,0.14,..,..
CHL,1995,..,..,..,..,..,0.15,..,..
CHL,1996,..,2.670000076,..,..,..,0.16,..,..
CHL,1997,..,..,..,..,..,0.16,..,..
CHL,1998,..,..,..,..,..,0.16,..,..
CHL,1999,..,..,..,..,..,0.15,..,..
CHL,2000,7.03517675,2.72,..,..,10,0.15,..,23
CHL,2001,7.15104151,2.62,..,3.4,12,0.14,..,22
CHL,2002,7.26602364,2.54,0.8921,3.2,17,0.14,..,18
CHL,2003,7.33330393,2.51,0.9466,3.2,21,0.14,..,16
CHL,2004,6.90114975,2.41,0.9842,3.2,22,0.14,..,19
CHL,2005,6.58871555,2.31,0.9804,3.1,30,0.15,..,18
CHL,2006,6.03516722,2.33,1.0404,3.1,29,0.15,..,18
CHL,2007,6.17537546,2.29,1.0365,3.1,31,0.16,..,17
CHL,2008,6.74047947,2.28,1.0389,3.4,32,0.17,..,17
CHL,2009,7.20918465,2.27,1.0294,3.5,35,0.17,..,16
CHL,2010,6.77489376,2.04,1.4333,3.4,37,0.18,..,16
CHL,2011,6.7717886,2.22,1.5854,3.3,37,0.18,..,16
CHL,2012,7.02092028,2.17,1.7471,3.1,43,0.19,..,16
CHL,2013,7.44478321,2.17,1.8806,3.1,48,0.19,..,16
CHL,2014,7.80729866,2.12,2.0278,3,49,0.19,..,15
CHL,2015,8.30269146,2.14,2.147,3.1,52,0.19,..,17
CHL,2016,8.51866722,2.12,2.2937,3.1,56,0.19,..,16
CHL,2017,9.06854153,2.11,2.4411,2.9,62,0.2,..,17
CHL,2018,9.15850353,2.06,2.5912,2.7,65,0.2,..,18
CHL,2019,9.33272266,..,2.6614,2.6,67,0.2,..,18
CHL,2020,9.75300503,..,2.8351,2.6,68,0.2,..,14
CHL,2021,9.09627819,..,..,..,68,0.2,..,16
CHL,2022,..,..,..,..,..,..,..,..
CHN,1990,..,2.579999924,1.1015,..,..,..,..,..
CHN,1991,..,2.599999905,..,..,..,..,..,..
CHN,1992,..,2.619999886,..,..,..,..,..,..
CHN,1993,..,2.630000114,..,..,..,..,..,..
CHN,1994,..,2.630000114,..,..,..,..,..,..
CHN,1995,..,2.609999895,1.1664,..,..,..,..,..
CHN,1996,..,2.549999952,1.1725,..,..,..,..,..
CHN,1997,..,2.549999952,1.1865,..,..,..,..,..
CHN,1998,..,2.529999971,1.1839,..,..,..,..,..
CHN,1999,..,2.519999981,1.212,..,..,..,..,..
CHN,2000,4.50828123,1.68,1.2356,..,..,..,1.52E-02,107
CHN,2001,4.25330067,1.66,1.2535,10,..,..,3.99E-02,104
CHN,2002,4.38285255,1.7,1.1134,9.4,..,..,4.76E-02,100
CHN,2003,4.41762781,1.73,1.16,8.6,..,..,5.29E-02,97
CHN,2004,4.29347467,1.79,1.1895,7.9,..,..,5.01E-02,94
CHN,2005,4.17605019,1.84,1.2127,7,..,..,4.02E-02,91
CHN,2006,3.94742203,1.91,1.247,6.1,..,..,6.44E-02,88
CHN,2007,3.67491412,1.99,1.2676,5,..,..,5.30E-02,85
CHN,2008,3.900002,2.13,1.3166,4,..,..,2.99E-02,82
CHN,2009,4.34958458,2.29,1.3922,2.8,..,..,1.66E-02,81
CHN,2010,4.23068333,2.47,1.4334,2.5,..,..,8.85E-03,76
CHN,2011,4.34274387,2.69,1.4596,2.5,..,..,2.30E-03,75
CHN,2012,4.56584787,3.01,1.5367,2.5,..,..,4.27E-04,73
CHN,2013,4.71490669,3.29,1.6332,2.5,..,..,1.44E-04,70
CHN,2014,4.77790594,3.55,1.6877,2.5,..,..,9.15E-05,67
CHN,2015,4.93827963,3.79,1.7732,2.5,..,..,6.69E-05,65
CHN,2016,4.97955608,4.02,1.8647,2.5,..,..,1.71E-06,63
CHN,2017,5.06592178,4.31,1.9798,2.5,..,..,0,62
CHN,2018,5.16790485,..,2.0969,2.5,..,..,0,61
CHN,2019,5.3502779,..,2.2266,2.5,..,..,0,58
CHN,2020,5.59359694,..,..,2.5,..,..,0,57
CHN,2021,..,..,..,..,..,..,..,55
CHN,2022,..,..,..,..,..,..,..,..
COL,1990,..,1.366700053,0.7906,..,..,0.14,..,..
COL,1991,..,..,0.8463,..,..,0.18,..,..
COL,1992,..,..,0.9039,..,..,0.22,..,..
COL,1993,..,1.299999952,0.9448,..,..,0.25,..,..
COL,1994,..,..,0.9904,..,..,0.28,..,..
COL,1995,..,..,1.0363,..,..,0.29,..,..
COL,1996,..,1.460000038,1.0765,..,..,0.29,..,..
COL,1997,..,..,1.1197,..,..,0.29,..,..
COL,1998,..,..,1.1672,..,..,0.28,..,..
COL,1999,..,..,1.2052,..,..,0.28,..,..
COL,2000,5.63529348,..,1.2467,..,1,0.26,24.27135821,37
COL,2001,5.94238234,..,1.2721,8.7,0,0.23,37.75907748,36
COL,2002,5.73295689,..,1.3031,9.1,2,0.23,32.5399802,35
COL,2003,5.77505875,1.100000024,1.3338,9.8,3,0.22,27.9681721,35
COL,2004,5.79892778,1.2,1.3731,10.6,5,0.21,21.41573514,33
COL,2005,6.06709862,..,1.4146,11.2,6,0.21,17.85532988,30
COL,2006,6.33551502,1,1.4521,11.4,8,0.21,17.46851521,32
COL,2007,6.49102831,1,1.494,11,14,0.21,18.06397901,31
COL,2008,6.84192705,..,1.545,11.3,11,0.19,11.33638431,32
COL,2009,7.31134653,..,1.5999,12.1,12,0.2,11.26886813,32
COL,2010,7.07130098,1.48,1.6493,12.9,13,0.21,16.5860398,32
COL,2011,6.78076839,1.45,1.713,12.3,19,0.22,8.985202479,33
COL,2012,6.74599648,1.48,1.774,10.7,26,0.21,8.304845937,33
COL,2013,7.01724052,1.54,1.8431,8.9,30,0.2,7.06737599,32
COL,2014,7.18553209,1.59,1.918,7.5,35,0.19,5.518079588,31
COL,2015,7.52338505,1.61,1.9742,6.5,41,0.19,8.132892427,31
COL,2016,7.53117037,1.68,2.0335,6,47,0.19,10.95893269,33
COL,2017,7.67864323,1.7,2.1064,5.9,51,0.18,7.563400923,33
COL,2018,7.62541389,1.71,2.1848,6.2,50,0.18,8.600544153,33
COL,2019,8.1165638,..,2.2522,7.2,57,0.18,10.77860749,35
COL,2020,8.99294186,..,2.327,8.2,69,0.17,9.400526219,34
COL,2021,..,..,..,..,74,0.17,8.97989882,41
COL,2022,..,..,..,..,..,..,..,..
COM,1990,..,2.761600018,0.113,..,..,0.01,..,..
COM,1991,..,..,..,..,..,0.01,..,..
COM,1992,..,..,0.127,..,..,0.01,..,..
COM,1993,..,..,..,..,..,0.02,..,..
COM,1994,..,..,..,..,..,0.02,..,..
COM,1995,..,..,..,..,..,0.02,..,..
COM,1996,..,..,..,..,..,0.02,..,..
COM,1997,..,..,7.40E-02,..,..,0.02,..,..
COM,1998,..,..,..,..,..,0.02,..,..
COM,1999,..,..,..,..,..,0.02,..,..
COM,2000,7.51536942,..,..,..,0,0.02,66.33156842,39
COM,2001,6.65322924,..,..,..,0,0.02,65.03621237,38
COM,2002,6.68114853,..,..,..,0,0.02,63.78175717,37
COM,2003,6.65392351,..,..,..,0,0.02,62.5436304,37
COM,2004,6.58027744,..,0.1926,..,0,0.02,61.31077133,36
COM,2005,6.12521315,..,0.1897,..,0,0.02,60.09283209,36
COM,2006,5.77074099,2.2,..,..,0,0.02,58.88783411,36
COM,2007,5.41753864,..,..,..,0,0.02,57.69339876,35
COM,2008,5.06897497,..,..,..,0,0.02,56.5030899,34
COM,2009,4.92694378,..,0.1901,..,0,0.02,55.32200351,33
COM,2010,4.99181557,2.16,..,..,13,0.02,55.69613307,33
COM,2011,5.3021183,..,..,..,15,0.02,37.09457654,34
COM,2012,5.17354631,..,0.1699,..,18,0.01,72.8066344,34
COM,2013,5.10299349,..,..,..,20,0.01,76.00304836,34
COM,2014,5.23849726,..,..,..,22,0.01,3.082791781,35
COM,2015,4.60089922,..,..,..,29,0.01,1.780295146,35
COM,2016,4.65263557,..,..,..,31,0.01,1.531695237,35
COM,2017,5.26807451,..,..,..,35,0.01,4.240715066,35
COM,2018,4.90318584,..,0.2643,..,42,0.01,19.56169741,35
COM,2019,5.18044472,..,..,..,53,0.01,22.24944563,35
COM,2020,5.34622765,..,..,..,58,0.01,5.639037121,35
COM,2021,..,..,..,..,61,0.01,12.82458543,35
COM,2022,..,..,..,..,..,..,..,..
COD,1990,..,1.426800013,6.60E-02,..,..,1.72,..,..
COD,1991,..,..,..,..,..,1.69,..,..
COD,1992,..,..,..,..,..,1.62,..,..
COD,1993,..,..,..,..,..,1.58,..,..
COD,1994,..,..,..,..,..,1.52,..,..
COD,1995,..,..,..,..,..,1.43,..,..
COD,1996,..,..,6.90E-02,..,..,1.35,..,..
COD,1997,..,..,..,..,..,1.25,..,..
COD,1998,..,..,..,..,..,1.19,..,..
COD,1999,..,..,..,..,..,1.12,..,..
COD,2000,1.55059242,..,..,..,0,1.07,469.5237312,327
COD,2001,2.70775485,..,..,32.2,0,1.01,469.8341284,327
COD,2002,2.65477443,..,..,33.7,0,0.95,470.3380072,327
COD,2003,3.81817842,..,..,34.5,0,0.89,474.5093026,327
COD,2004,4.42028666,..,0.107,34.7,1,0.83,481.241601,327
COD,2005,4.25265837,1.1,..,34.6,1,0.78,481.6890653,327
COD,2006,4.39380932,0.8,..,34.6,3,0.74,473.9140691,327
COD,2007,4.33555269,..,..,34.5,4,0.68,464.0551288,327
COD,2008,4.98871994,..,..,34.5,4,0.62,444.963445,327
COD,2009,4.54615927,..,9.34E-02,34.5,6,0.58,413.9672429,327
COD,2010,3.86035633,..,..,34.2,8,0.53,389.9127211,327
COD,2011,3.26267266,..,..,34.5,10,0.49,365.7190425,327
COD,2012,3.30099463,..,..,35.1,12,0.46,345.523943,327
COD,2013,3.56663275,..,8.99E-02,35.1,15,0.42,326.4920892,326
COD,2014,3.97874069,..,..,35.1,19,0.37,307.5046598,325
COD,2015,3.96921396,..,..,35.5,23,0.35,295.7635393,324
COD,2016,4.36603069,..,..,36,30,0.33,297.4805387,323
COD,2017,4.15646601,..,..,36.4,41,0.31,308.2104085,322
COD,2018,3.30249262,..,0.3752,36.3,48,0.28,320.8788742,321
COD,2019,3.54229975,..,..,37.7,60,0.25,320.6746876,320
COD,2020,4.05092573,..,..,39.8,70,0.22,324.2074264,319
COD,2021,..,..,..,..,82,0.18,318.2525254,318
COD,2022,..,..,..,..,..,..,..,..
COG,1990,..,3.349999905,0.276,..,..,4.19,..,..
COG,1991,..,..,..,..,..,3.81,..,..
COG,1992,..,..,..,..,..,3.56,..,..
COG,1993,..,..,..,..,..,3.44,..,..
COG,1994,..,..,..,..,..,3.19,..,..
COG,1995,..,..,0.251,..,..,3.03,..,..
COG,1996,..,..,..,..,..,2.98,..,..
COG,1997,..,..,..,..,..,2.88,..,..
COG,1998,..,..,0.7301,..,..,2.76,..,..
COG,1999,..,..,..,..,..,2.71,..,..
COG,2000,1.50500846,..,..,..,0,2.58,353.4155704,356
COG,2001,2.18529987,..,..,27,0,2.41,350.9362494,379
COG,2002,1.70167828,..,..,26.4,0,2.36,321.6740245,398
COG,2003,1.91852403,..,..,26.4,1,2.23,319.2113186,413
COG,2004,1.92152369,..,0.2154,31.7,1,2.14,317.8120763,423
COG,2005,1.71774101,1.6,..,34,3,2.19,299.5108144,426
COG,2006,1.70861316,..,0.2088,36.6,4,2.15,278.9698119,422
COG,2007,1.90200174,..,0.1035,35.4,6,2.06,256.6869439,413
COG,2008,2.2392714,..,..,35.5,11,2.07,231.3675023,403
COG,2009,2.1422224,..,..,36,14,2.09,216.8367694,393
COG,2010,1.85172856,..,0.1156,36.5,16,2.02,214.312046,386
COG,2011,1.75237322,..,0.1645,35.9,18,1.99,215.5188586,383
COG,2012,1.90971065,..,..,32.9,18,2.04,216.5816547,382
COG,2013,1.94347155,..,..,28.2,20,2.08,219.1950151,382
COG,2014,1.97311735,..,..,25.3,19,2.06,213.1226742,381
COG,2015,2.45668483,..,..,25.2,20,2.04,210.9029604,379
COG,2016,2.79067326,..,0.1064,26.4,21,2.21,217.142899,378
COG,2017,2.51812935,..,..,28.3,21,2.4,233.1400099,376
COG,2018,1.90143239,..,0.1037,29.3,22,2.41,242.9597384,375
COG,2019,2.56553078,..,..,29.9,22,2.52,237.7399886,373
COG,2020,4.46762228,..,..,31.6,22,2.68,228.6943541,372
COG,2021,..,..,..,..,23,2.39,219.3436519,370
COG,2022,..,..,..,..,..,..,..,..
CRI,1990,..,2.5,1.26,..,..,0.09,..,..
CRI,1991,..,..,..,..,..,0.09,..,..
CRI,1992,..,..,..,..,..,0.09,..,..
CRI,1993,..,..,0.883,..,..,0.1,..,..
CRI,1994,..,1.793900013,0.845,..,..,0.1,..,..
CRI,1995,..,1.779999971,0.854,..,..,0.11,..,..
CRI,1996,..,1.75,0.864,..,..,0.11,..,..
CRI,1997,..,1.710000038,0.872,..,..,0.11,..,..
CRI,1998,..,1.679999948,0.901,..,..,0.12,..,..
CRI,1999,..,..,1.719,..,..,0.12,..,..
CRI,2000,6.56498671,1.65,1.3133,..,9,0.13,1.349161387,18
CRI,2001,6.47409916,1.61,..,4.7,11,0.13,0.960788142,20
CRI,2002,6.86908817,1.57,..,5,14,0.14,0.707593917,17
CRI,2003,6.9691925,1.54,..,5.2,16,0.14,0.489763733,16
CRI,2004,6.63006067,1.5,..,5,18,0.15,0.865984091,21
CRI,2005,6.6642971,1.35,..,4.4,20,0.15,2.344163754,16
CRI,2006,6.93530846,1.32,2.0415,3.9,22,0.16,1.894463442,14
CRI,2007,6.99642611,1.3,2.0905,3.8,23,0.16,0.786998248,16
CRI,2008,7.46854782,1.25,2.1577,3.9,25,0.16,0.613071756,14
CRI,2009,7.86019135,1.24,2.2178,4.3,26,0.17,0.164047952,12
CRI,2010,8.02937698,1.24,2.3057,4.6,39,0.18,6.80E-02,13
CRI,2011,8.12197685,1.23,2.3721,5,40,0.18,6.11E-03,14
CRI,2012,7.78642273,1.2,2.4578,5,40,0.18,3.62E-03,13
CRI,2013,7.68229294,1.18,2.5421,4.9,40,0.19,0,11
CRI,2014,7.66376162,1.17,2.6434,4.7,41,0.19,0,12
CRI,2015,7.59196186,1.16,2.7318,4.1,47,0.19,0,11
CRI,2016,7.31724358,1.15,2.8443,3.6,49,0.19,2.31E-03,9.4
CRI,2017,7.04522991,1.14,2.9533,3.2,52,0.2,6.87E-03,9.6
CRI,2018,7.28587723,1.11,2.8939,3.2,57,0.2,3.97E-02,10
CRI,2019,7.2212491,1.1,..,3.4,60,0.2,5.34E-02,10
CRI,2020,7.855371,..,3.3005,3.4,58,0.21,5.02E-02,9.7
CRI,2021,..,..,..,..,66,0.21,0.104773921,11
CRI,2022,..,..,..,..,..,..,..,..
CIV,1990,..,0.811600029,8.80E-02,..,..,6.6,..,..
CIV,1991,..,..,..,..,..,7.16,..,..
CIV,1992,..,..,..,..,..,7.45,..,..
CIV,1993,..,..,..,..,..,7.47,..,..
CIV,1994,..,..,..,..,..,7,..,..
CIV,1995,..,..,..,..,..,6.76,..,..
CIV,1996,..,..,0.09,..,..,6.15,..,..
CIV,1997,..,..,..,..,..,5.51,..,..
CIV,1998,..,..,..,..,..,5.03,..,..
CIV,1999,..,..,..,..,..,4.42,..,..
CIV,2000,6.1268425,..,..,..,0,3.99,496.9750596,367
CIV,2001,6.01772738,..,..,20.4,0,3.66,511.3646669,350
CIV,2002,5.90390921,..,..,21,0,3.2,512.7920906,330
CIV,2003,5.47976875,..,..,20.6,1,2.91,511.7035057,309
CIV,2004,5.47521019,..,0.1158,19.3,1,2.65,502.2454147,288
CIV,2005,5.0064311,..,9.25E-02,18.3,3,2.33,458.2374813,267
CIV,2006,4.76330423,0.4,..,17.6,5,2.12,438.0847926,249
CIV,2007,4.5525341,..,..,17.9,7,1.85,438.2655909,233
CIV,2008,4.56873274,..,0.1401,18.2,10,1.66,453.297467,219
CIV,2009,4.46970224,..,..,16.3,15,1.45,466.483897,207
CIV,2010,4.41580915,..,..,13.6,16,1.24,472.0299799,196
CIV,2011,4.39704227,..,0.1531,10.9,20,1.16,462.0497953,186
CIV,2012,4.42740679,..,..,10,23,1,378.4969337,178
CIV,2013,3.71776772,..,..,9.9,27,0.84,290.766081,170
CIV,2014,3.73104811,..,0.2314,9.2,31,0.73,258.9936943,165
CIV,2015,3.21990895,..,..,8.3,36,0.63,239.8055833,159
CIV,2016,3.35172248,..,..,6.9,44,0.62,242.3428432,153
CIV,2017,3.3050983,..,..,6,55,0.48,250.6873788,148
CIV,2018,3.1189115,..,0.3848,5.2,62,0.38,264.0204428,142
CIV,2019,3.28960407,..,0.1623,4.7,68,0.28,274.7505388,137
CIV,2020,3.72245775,..,..,4.4,73,0.24,275.9413676,132
CIV,2021,..,..,..,..,76,0.21,270.874111,128
CIV,2022,..,..,..,..,..,..,..,..
HRV,1990,..,7.377799988,2.969,..,..,0.01,..,..
HRV,1991,..,6.520100117,2.6746,..,..,0.01,..,..
HRV,1992,..,6.210100174,2.7167,..,..,0.01,..,..
HRV,1993,..,6.071199894,2.7459,..,..,0.01,..,..
HRV,1994,..,5.909500122,2.741,..,..,0.01,..,..
HRV,1995,..,5.75,2.7192,..,..,0.01,..,..
HRV,1996,..,6.190000057,2.7253,..,..,0.01,..,..
HRV,1997,..,6.010000229,2.7458,..,..,0.01,..,..
HRV,1998,..,6.059999943,2.5971,..,..,0.01,..,..
HRV,1999,..,5.929999828,2.5007,..,..,0.01,..,..
HRV,2000,7.64173985,6.15,2.3574,..,27,0.01,..,41
HRV,2001,7.16696358,6,2.3938,6.8,29,0.01,..,35
HRV,2002,6.1453743,5.67,2.4089,4.6,31,0.02,..,37
HRV,2003,6.302598,5.61,2.4653,3.7,32,0.02,..,36
HRV,2004,6.51233673,5.53,2.5304,3.1,33,0.02,..,30
HRV,2005,6.84697294,5.45,2.5353,2.5,35,0.02,..,27
HRV,2006,6.91900873,5.62,2.5739,2.5,37,0.02,..,27
HRV,2007,7.41713762,5.65,2.7047,2.5,39,0.02,..,25
HRV,2008,7.67231941,5.63,2.7113,2.5,42,0.02,..,26
HRV,2009,8.11311531,5.53,2.7211,2.5,44,0.02,..,22
HRV,2010,8.0207386,5.78,2.8428,2.5,48,0.02,..,18
HRV,2011,7.69077826,5.84,2.8958,2.5,51,0.02,..,16
HRV,2012,7.70057678,5.89,2.9731,2.5,54,0.02,..,14
HRV,2013,6.44103718,5.86,3.0178,2.5,57,0.02,..,14
HRV,2014,6.62079239,5.91,3.1258,2.5,61,0.02,..,13
HRV,2015,6.70067848,5.56,3.1728,2.5,67,0.02,..,13
HRV,2016,6.73855692,5.49,3.2087,2.5,71,0.02,..,12
HRV,2017,6.67034649,5.54,3.3195,2.5,74,0.02,..,10
HRV,2018,6.75780032,..,3.3863,2.5,75,0.02,..,10
HRV,2019,6.81108999,..,3.4651,2.5,78,0.02,..,8.3
HRV,2020,7.76502275,..,..,2.5,77,0.02,..,5
HRV,2021,..,..,..,..,77,0.02,..,4
HRV,2022,..,..,..,..,..,..,..,..
CUB,1990,..,5.421199799,3.651,..,..,0.08,..,..
CUB,1991,..,..,3.9944,..,..,0.09,..,..
CUB,1992,..,..,4.3646,..,..,0.09,..,..
CUB,1993,..,6,4.7311,..,..,0.09,..,..
CUB,1994,..,..,4.9882,..,..,0.1,..,..
CUB,1995,..,..,5.22,..,..,0.1,..,..
CUB,1996,..,5.130000114,5.4966,..,..,0.1,..,..
CUB,1997,..,..,5.6984,..,..,0.11,..,..
CUB,1998,..,..,5.7509,..,..,0.11,..,..
CUB,1999,..,..,5.8516,..,..,0.12,..,..
CUB,2000,6.58189821,..,5.9316,..,0,0.12,..,12
CUB,2001,6.9820981,..,5.9406,2.5,3,0.12,..,9.5
CUB,2002,7.11481619,..,5.9894,2.5,6,0.13,..,9.2
CUB,2003,7.10295439,4.900000095,6.0572,2.5,8,0.13,..,8.6
CUB,2004,6.83178711,..,6.1965,2.5,10,0.13,..,8
CUB,2005,8.75525475,4.9,6.2686,2.5,12,0.14,..,7.9
CUB,2006,8.2719059,4.9,6.3483,2.5,15,0.14,..,7.8
CUB,2007,10.9674921,4.9,6.4363,2.5,18,0.15,..,7.8
CUB,2008,11.31422806,6,6.6345,2.5,22,0.15,..,8.4
CUB,2009,12.29053974,5.9,6.6698,2.5,26,0.15,..,7.3
CUB,2010,10.6880827,5.9,6.8152,2.5,30,0.15,..,8.5
CUB,2011,11.31298637,5.08,6.9969,2.5,35,0.16,..,8.2
CUB,2012,9.29940987,5.04,7.2901,2.5,38,0.16,..,7.5
CUB,2013,10.43099499,5.05,7.4183,2.5,42,0.16,..,7.7
CUB,2014,12.1412344,5.16,7.5673,2.5,49,0.16,..,7.4
CUB,2015,12.81401348,5.24,7.769,2.5,57,0.16,..,7.1
CUB,2016,12.2177515,5.32,7.9541,2.5,61,0.17,..,6.9
CUB,2017,11.47197342,5.33,8.295,2.5,65,0.17,..,7.2
CUB,2018,11.0184288,..,8.4199,2.5,70,0.17,..,7.2
CUB,2019,11.08496857,..,..,2.5,74,0.17,..,6.5
CUB,2020,12.48644733,..,..,2.5,72,0.17,..,6.3
CUB,2021,..,..,..,..,72,0.17,..,6.8
CUB,2022,..,..,..,..,..,..,..,..
CUW,1990,..,..,..,..,..,..,..,..
CUW,1991,..,..,..,..,..,..,..,..
CUW,1992,..,..,..,..,..,..,..,..
CUW,1993,..,..,..,..,..,..,..,..
CUW,1994,..,..,..,..,..,..,..,..
CUW,1995,..,..,..,..,..,..,..,..
CUW,1996,..,..,..,..,..,..,..,..
CUW,1997,..,..,..,..,..,..,..,..
CUW,1998,..,..,..,..,..,..,..,..
CUW,1999,..,..,..,..,..,..,..,..
CUW,2000,..,..,..,..,..,..,..,..
CUW,2001,..,..,..,..,..,..,..,..
CUW,2002,..,..,..,..,..,..,..,..
CUW,2003,..,..,..,..,..,..,..,..
CUW,2004,..,..,..,..,..,..,..,..
CUW,2005,..,..,..,..,..,..,..,..
CUW,2006,..,..,..,..,..,..,..,..
CUW,2007,..,..,..,..,..,..,..,..
CUW,2008,..,..,..,..,..,..,..,..
CUW,2009,..,..,..,..,..,..,..,..
CUW,2010,..,..,..,..,..,..,..,3.6
CUW,2011,..,..,..,..,..,..,..,0.71
CUW,2012,..,..,..,..,..,..,..,0.7
CUW,2013,..,..,..,..,..,..,..,1.4
CUW,2014,..,..,..,..,..,..,..,3.4
CUW,2015,..,..,..,..,..,..,..,5.4
CUW,2016,..,..,..,..,..,..,..,2.7
CUW,2017,..,..,..,..,..,..,..,6
CUW,2018,..,..,..,..,..,..,..,6.1
CUW,2019,..,..,..,..,..,..,..,6.8
CUW,2020,..,..,..,..,..,..,..,7.6
CUW,2021,..,..,..,..,..,..,..,8.3
CUW,2022,..,..,..,..,..,..,..,..
CYP,1990,..,..,1.5627,..,..,0.04,..,..
CYP,1991,..,..,1.6154,..,..,0.03,..,..
CYP,1992,..,..,1.7087,..,..,0.03,..,..
CYP,1993,..,..,1.7599,..,..,0.03,..,..
CYP,1994,..,..,1.8253,..,..,0.03,..,..
CYP,1995,..,..,1.8787,..,..,0.03,..,..
CYP,1996,..,..,1.8834,..,..,0.03,..,..
CYP,1997,..,..,1.8907,..,..,0.03,..,..
CYP,1998,..,..,1.8939,..,..,0.02,..,..
CYP,1999,..,..,..,..,..,0.03,..,..
CYP,2000,5.30800056,4.52,1.9082,..,0,0.03,..,4
CYP,2001,5.33940458,4.4,1.915,5.1,5,0.03,..,4.8
CYP,2002,5.61565971,4.4,1.8782,5.7,10,0.03,..,2.3
CYP,2003,5.63568783,4.3,1.8619,6.1,14,0.03,..,4
CYP,2004,5.40558147,4.2,1.9121,6.9,17,0.04,..,3.4
CYP,2005,5.43580961,3.83,1.8965,7.6,20,0.04,..,3.8
CYP,2006,5.46357489,3.8,1.8374,7.5,22,0.04,..,3.9
CYP,2007,5.35744858,3.8,2.0147,6.9,23,0.05,..,4.4
CYP,2008,6.01427698,3.78,2.0507,6.4,24,0.05,..,5.1
CYP,2009,6.46531534,3.76,2.1064,4.7,25,0.05,..,5.3
CYP,2010,6.51767111,3.57,2.1562,3,29,0.06,..,6.2
CYP,2011,6.44928551,3.51,2.2484,2.5,32,0.06,..,5.1
CYP,2012,6.55474567,3.46,2.296,2.5,38,0.06,..,6.3
CYP,2013,6.94518471,3.41,2.4076,2.5,43,0.06,..,4
CYP,2014,6.95228958,3.42,2.4993,2.5,47,0.06,..,3.8
CYP,2015,6.81669092,3.42,2.6236,2.5,53,0.06,..,6.1
CYP,2016,6.68224382,3.43,1.9509,2.5,59,0.05,..,5.5
CYP,2017,6.64387274,3.4,2.8185,2.5,63,0.05,..,4.9
CYP,2018,6.84573793,..,2.9799,2.5,68,0.05,..,4.8
CYP,2019,6.94943047,..,3.1437,2.5,76,0.05,..,6.2
CYP,2020,8.0934782,..,..,2.5,81,0.04,..,3.2
CYP,2021,..,..,..,..,..,0.04,..,4.4
CYP,2022,..,..,..,..,..,..,..,..
CZE,1990,..,11.30000019,2.7112,..,..,..,..,..
CZE,1991,..,11.10000038,2.6652,..,..,..,..,..
CZE,1992,..,10.69999981,2.6702,..,..,..,..,..
CZE,1993,..,10.39999962,2.8564,..,..,..,..,..
CZE,1994,..,10.19999981,2.925,..,..,..,..,..
CZE,1995,..,..,2.9872,..,..,..,..,..
CZE,1996,..,..,2.9742,..,..,..,..,..
CZE,1997,..,..,3.1016,..,..,..,..,..
CZE,1998,..,..,3.0215,..,..,..,..,..
CZE,1999,..,..,3.0712,..,..,..,..,..
CZE,2000,5.70103025,7.8,3.3631,..,..,..,..,16
CZE,2001,5.86295414,7.77,3.4293,2.5,..,..,..,15
CZE,2002,6.17736149,7.76,3.487,2.5,..,..,..,13
CZE,2003,6.52412462,7.73,3.512,2.5,..,..,..,13
CZE,2004,6.35071039,7.65,3.5067,2.5,..,..,..,12
CZE,2005,6.34086704,7.57,3.5465,2.5,..,..,..,11
CZE,2006,6.16380167,7.45,3.5534,2.5,..,..,..,11
CZE,2007,5.98578405,7.33,3.5544,2.5,..,..,..,8.8
CZE,2008,6.33024931,7.21,3.5415,2.5,..,..,..,8.9
CZE,2009,7.24880648,7.14,3.5612,2.5,..,..,..,7
CZE,2010,6.87530422,7.3,3.5743,2.5,..,..,..,6.8
CZE,2011,6.92782736,7.06,3.6125,2.5,..,..,..,6.2
CZE,2012,6.97858715,6.93,3.6502,2.5,..,..,..,6.2
CZE,2013,7.7224946,6.7,3.6628,2.5,..,..,..,5.2
CZE,2014,7.59677219,6.68,3.9345,2.5,..,..,..,5.2
CZE,2015,7.19641495,6.67,3.9516,2.5,..,..,..,5.6
CZE,2016,7.10654974,6.66,4.0194,2.5,..,..,..,5.6
CZE,2017,7.38071537,6.63,4.0676,2.5,..,..,..,5.4
CZE,2018,7.47199488,6.62,4.024,2.5,..,..,..,4.7
CZE,2019,7.60487127,..,4.0601,2.5,..,..,..,5
CZE,2020,9.24007225,..,4.1533,2.5,..,..,..,3.9
CZE,2021,..,..,..,..,..,..,..,3.9
CZE,2022,..,..,..,..,..,..,..,..
DNK,1990,..,5.599999905,2.4952,..,..,0.06,..,..
DNK,1991,..,5.400000095,2.4309,..,..,7.00E-02,..,..
